
,right,left,jump,jumpUp,leftUp,rightUp
12,0.33072771961630953,0.17722396797330725,0.49204831241038316,0.6029529355000705,0.19272745633497834,0.2043196081649512
13,0.3758098448629849,0.051037699742467836,0.5731524553945473,0.4660906253360344,0.14898088284136538,0.3849284918226002
14,0.3901736978585483,0.1780898647122201,0.4317364374292316,0.4660906253360344,0.14898088284136538,0.3849284918226002
15,0.4250332964681644,0.0061822531176404395,0.5687844504141952,0.46895776616238566,0.15865160835567085,0.3723906254819435
16,0.446827478952844,0.16154504830287708,0.39162747274427884,0.4693350351647578,0.14807556994835497,0.38258939488688726

,right,left,jump,jumpUp,leftUp,rightUp
1,0.37505594813673465,0.17118955847044198,0.45375449339282325,0.47309940830409863,0.1512211653475259,0.3756794263483755
2,0.544783958142543,0.005346259771877886,0.4498697820855791,0.46531108062474813,0.15537974483665848,0.3793091745385935
3,0.5228248142532816,0.005130762810476319,0.4720444229362421,0.4695909534548548,0.15680890819847323,0.37360013834667216
4,0.5228248142532816,0.005130762810476319,0.4720444229362421,0.4757472002715919,0.15206750372777764,0.37218529600063044
5,0.3787781093895464,0.16205052527411293,0.4591713653363406,0.4660906253360344,0.14898088284136538,0.3849284918226002
6,0.35202587112180006,0.18863680910037908,0.45933731977782083,0.5303658412363687,0.13104566974330353,0.3385884890203278
7,0.3672019043543442,0.13275738885810845,0.5000407067875473,0.5494903539577979,0.17336463559525458,0.27714501044694756
8,0.4546584436413266,0.045278307372668525,0.5000632489860047,0.47125300972535816,0.1948620910130744,0.3338848992615674
9,0.3966603083619364,0.0064873299039987144,0.596852361734065,0.46895776616238566,0.15865160835567085,0.3723906254819435
10,0.4059431862770509,0.15445693672789612,0.43959987699505293,0.5303658412363687,0.13104566974330353,0.3385884890203278
11,0.3901736978585483,0.1780898647122201,0.4317364374292316,0.5107135342163949,0.16324411835517336,0.3260423474284318
12,0.33072771961630953,0.17722396797330725,0.49204831241038316,0.5688255779689176,0.18181901154407862,0.2493554104870038
13,0.35274276048492353,0.189020961894339,0.45823627762073743,0.4660906253360344,0.14898088284136538,0.3849284918226002
14,0.35274276048492353,0.189020961894339,0.45823627762073743,0.4660906253360344,0.14898088284136538,0.3849284918226002
15,0.4279989064958902,0.1670436270125985,0.40495746649151126,0.4660906253360344,0.14898088284136538,0.3849284918226002
16,0.4178020538821149,0.05652190979075644,0.5256760363271287,0.4660906253360344,0.14898088284136538,0.3849284918226002

